                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.43409,                0.60269,                0.28364,                0.85988,                0.94233,                0.84117,                0.89435,                0.64016,                0.93358,                0.80889,                0.85467,                0.57171,                 1.1536,                 2.6453,                0.51634,                 1.3504,                0.00307,                0.00307,                0.00307
                     72,                0.42841,                0.59582,                0.28031,                0.85905,                0.93436,                0.84565,                0.89495,                0.63977,                0.92679,                0.81475,                0.85626,                0.57036,                 1.1521,                 2.6415,                0.51404,                 1.3531,               0.002971,               0.002971,               0.002971
                     73,                0.42749,                0.59253,                0.27732,                0.85871,                0.92545,                0.85044,                0.89448,                0.64137,                0.92707,                0.81616,                0.85645,                0.56986,                 1.1488,                 2.5997,                0.51161,                 1.3454,               0.002872,               0.002872,               0.002872
                     74,                0.42633,                0.59444,                  0.277,                0.85825,                 0.9328,                0.84125,                0.89243,                0.64048,                0.93729,                0.81282,                0.85917,                0.56953,                 1.1484,                 2.6025,                0.51456,                 1.3437,               0.002773,               0.002773,               0.002773
                     75,                0.42392,                0.58934,                0.27603,                0.85777,                0.93758,                0.83694,                0.89065,                0.64275,                0.93435,                0.81566,                0.86001,                0.57078,                 1.1474,                 2.6159,                0.52046,                 1.3394,               0.002674,               0.002674,               0.002674
                     76,                0.42282,                0.59228,                 0.2755,                0.85673,                0.94621,                0.83166,                0.88967,                0.64309,                0.93558,                0.81364,                0.85747,                0.57193,                 1.1495,                 2.6299,                0.51994,                 1.3491,               0.002575,               0.002575,               0.002575
                     77,                0.42117,                0.58957,                0.27345,                0.85672,                0.94218,                0.83261,                0.88967,                0.64261,                0.93835,                0.81219,                0.85736,                0.57309,                 1.1537,                  2.657,                0.52271,                 1.3621,               0.002476,               0.002476,               0.002476
                     78,                0.41614,                0.58171,                0.27075,                0.85492,                0.93212,                0.84032,                0.89014,                0.64396,                0.93459,                0.81342,                0.85787,                0.57366,                 1.1507,                 2.6743,                0.52244,                 1.3633,               0.002377,               0.002377,               0.002377
                     79,                0.41562,                0.57894,                0.27019,                0.85645,                0.92971,                0.84388,                0.89177,                0.64413,                0.93273,                0.81706,                0.85919,                0.57295,                 1.1505,                 2.6646,                 0.5221,                 1.3664,               0.002278,               0.002278,               0.002278
                     80,                0.41168,                0.57495,                0.26755,                0.85505,                 0.9311,                0.84447,                0.89152,                0.64403,                0.92904,                0.81895,                0.86049,                0.57407,                 1.1507,                 2.6584,                0.52219,                 1.3673,               0.002179,               0.002179,               0.002179
                     81,                0.40831,                0.57389,                0.26533,                0.85478,                0.92943,                0.84475,                0.89021,                 0.6419,                0.93078,                 0.8179,                0.86034,                0.57447,                 1.1488,                 2.6729,                0.52294,                 1.3644,                0.00208,                0.00208,                0.00208
                     82,                0.41015,                0.57452,                0.26557,                0.85442,                0.93091,                 0.8439,                0.89171,                 0.6414,                0.93126,                0.81847,                0.86027,                0.57361,                 1.1503,                 2.6849,                0.52223,                 1.3698,               0.001981,               0.001981,               0.001981
                     83,                0.40656,                0.56919,                0.26307,                0.85447,                0.92319,                 0.8469,                0.89074,                   0.64,                0.93185,                0.81758,                0.85957,                0.57268,                 1.1547,                 2.7036,                0.52322,                 1.3823,               0.001882,               0.001882,               0.001882
                     84,                0.40455,                0.56657,                0.26097,                0.85389,                0.92274,                0.84602,                0.89047,                0.64079,                0.93232,                0.81631,                0.86101,                0.57413,                 1.1536,                 2.7169,                 0.5219,                 1.3836,               0.001783,               0.001783,               0.001783
                     85,                0.39914,                0.56028,                0.25899,                0.85182,                0.92124,                0.84801,                0.89073,                0.64089,                 0.9359,                0.81613,                0.86135,                0.57475,                 1.1526,                  2.734,                0.52011,                 1.3839,               0.001684,               0.001684,               0.001684
                     86,                0.40049,                0.56399,                0.25955,                0.85152,                0.91943,                0.84782,                0.88965,                0.64083,                0.93971,                0.81515,                0.86024,                0.57455,                 1.1544,                 2.7541,                0.52059,                 1.3871,               0.001585,               0.001585,               0.001585
                     87,                 0.3993,                0.56128,                0.25792,                0.85245,                0.92415,                0.84275,                0.88943,                0.64175,                0.93542,                0.81645,                0.86003,                0.57427,                 1.1531,                  2.759,                0.52023,                 1.3846,               0.001486,               0.001486,               0.001486
                     88,                0.39646,                0.55729,                0.25689,                0.85218,                0.91687,                0.84662,                0.88874,                0.64266,                0.93707,                0.81528,                   0.86,                0.57456,                 1.1523,                 2.7729,                0.52025,                  1.384,               0.001387,               0.001387,               0.001387
                     89,                0.39299,                0.55462,                0.25497,                 0.8511,                0.91932,                0.84521,                0.88977,                0.64337,                 0.9378,                0.81501,                0.86001,                0.57448,                 1.1524,                 2.7869,                0.52039,                 1.3851,               0.001288,               0.001288,               0.001288
                     90,                0.39202,                0.55493,                0.25382,                0.85003,                0.92443,                0.84269,                0.88967,                0.64366,                0.93639,                0.81501,                0.85992,                0.57413,                 1.1519,                 2.7965,                0.51957,                  1.386,               0.001189,               0.001189,               0.001189
