                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.62235,                0.64316,                0.39433,                0.85065,                0.85954,                0.76455,                0.82295,                0.54549,                0.84906,                0.71325,                0.79875,                0.45888,                 1.1299,                 1.4329,                0.54623,                 1.0248,               0.003961,               0.003961,               0.003961
                     63,                0.61978,                0.64161,                0.39336,                0.84894,                0.86137,                0.76104,                0.82192,                0.54439,                0.85108,                0.71429,                0.79915,                0.45841,                 1.1311,                 1.4342,                0.54568,                 1.0258,               0.003862,               0.003862,               0.003862
                     64,                0.61818,                0.63956,                0.39004,                0.84852,                0.86446,                0.76038,                0.82219,                0.54555,                0.85278,                0.71767,                0.80134,                0.45858,                 1.1292,                 1.4361,                0.54399,                 1.0252,               0.003763,               0.003763,               0.003763
                     65,                0.61472,                0.63889,                0.38924,                0.84842,                0.86787,                0.75974,                0.82211,                0.54571,                0.85978,                0.71584,                0.80044,                0.45616,                 1.1296,                  1.439,                0.54331,                 1.0256,               0.003664,               0.003664,               0.003664
                     66,                0.61217,                0.63658,                 0.3867,                0.84686,                0.87005,                0.75766,                0.82129,                 0.5461,                0.86001,                0.71647,                0.79979,                0.45571,                 1.1295,                 1.4431,                0.54239,                 1.0251,               0.003565,               0.003565,               0.003565
                     67,                0.60965,                 0.6322,                0.38622,                0.84628,                0.86046,                0.76104,                0.82082,                0.54548,                0.85917,                0.71922,                 0.8001,                0.45545,                 1.1313,                 1.4469,                0.54269,                 1.0261,               0.003466,               0.003466,               0.003466
                     68,                0.60876,                0.63445,                0.38479,                0.84742,                0.85893,                0.76066,                0.81975,                0.54549,                0.85684,                0.72052,                0.80024,                 0.4559,                 1.1323,                 1.4495,                0.54225,                 1.0264,               0.003367,               0.003367,               0.003367
                     69,                0.60627,                 0.6298,                0.38402,                0.84552,                0.86172,                0.76026,                0.81871,                0.54539,                0.85619,                0.72078,                0.79988,                0.45604,                 1.1299,                 1.4504,                0.54235,                 1.0251,               0.003268,               0.003268,               0.003268
                     70,                0.60497,                0.62954,                0.38185,                0.84528,                0.86153,                0.76026,                  0.819,                0.54651,                0.85137,                0.72306,                0.79892,                0.45641,                 1.1299,                 1.4544,                0.54194,                 1.0252,               0.003169,               0.003169,               0.003169
                     71,                0.60242,                0.62959,                0.37853,                0.84394,                0.86218,                0.75818,                0.81803,                0.54599,                0.85031,                0.72494,                0.79909,                0.45718,                 1.1298,                 1.4582,                0.54149,                 1.0255,                0.00307,                0.00307,                0.00307
                     72,                0.60009,                0.62254,                0.37708,                 0.8439,                0.86195,                 0.7587,                0.81834,                0.54548,                0.85472,                   0.72,                 0.7993,                0.45792,                 1.1303,                 1.4609,                0.54183,                 1.0259,               0.002971,               0.002971,               0.002971
                     73,                0.59867,                0.62495,                0.37686,                0.84443,                0.86085,                0.75974,                0.81933,                0.54604,                0.85263,                0.72052,                0.79953,                 0.4574,                 1.1312,                 1.4636,                0.54211,                 1.0262,               0.002872,               0.002872,               0.002872
                     74,                0.59558,                0.61454,                0.37252,                0.84374,                0.85657,                 0.7632,                0.81932,                0.54648,                0.85279,                   0.72,                0.79911,                0.45695,                 1.1314,                 1.4653,                0.54179,                 1.0265,               0.002773,               0.002773,               0.002773
                     75,                0.59072,                0.61516,                0.37042,                0.84157,                0.86001,                   0.76,                0.81954,                0.54656,                 0.8531,                0.72156,                0.79976,                0.45743,                 1.1295,                 1.4656,                0.54105,                 1.0259,               0.002674,               0.002674,               0.002674
                     76,                0.58914,                0.61398,                0.36885,                0.84203,                0.86005,                0.76026,                0.81996,                0.54582,                0.85424,                   0.72,                0.79936,                0.45762,                 1.1285,                 1.4659,                0.54094,                 1.0264,               0.002575,               0.002575,               0.002575
                     77,                0.58885,                0.61078,                0.36841,                0.84006,                0.86154,                0.75922,                0.81833,                0.54549,                0.85451,                 0.7187,                0.79932,                0.45713,                 1.1282,                 1.4672,                0.54016,                 1.0264,               0.002476,               0.002476,               0.002476
                     78,                0.58432,                0.61201,                0.36618,                0.84143,                0.85977,                 0.7587,                0.81784,                 0.5457,                0.85648,                0.71924,                0.79946,                0.45688,                 1.1283,                 1.4695,                 0.5398,                 1.0269,               0.002377,               0.002377,               0.002377
                     79,                0.58179,                0.60863,                0.36289,                0.84025,                0.86511,                0.75798,                0.81805,                0.54461,                0.85492,                0.72026,                0.79909,                0.45672,                 1.1288,                 1.4709,                0.54094,                 1.0274,               0.002278,               0.002278,               0.002278
                     80,                0.57981,                0.60528,                0.36197,                0.83897,                0.86452,                0.75948,                0.81904,                0.54489,                0.85439,                0.72026,                0.79876,                0.45688,                   1.13,                 1.4741,                0.54105,                 1.0278,               0.002179,               0.002179,               0.002179
                     81,                0.57712,                0.59957,                 0.3595,                0.83915,                0.85945,                0.76078,                0.81899,                0.54494,                0.85367,                0.71844,                0.79707,                0.45648,                 1.1308,                 1.4763,                0.54106,                 1.0279,                0.00208,                0.00208,                0.00208
                     82,                0.57694,                0.60074,                0.35862,                0.83805,                0.86682,                0.75662,                0.81879,                0.54511,                0.85456,                0.72032,                0.79711,                0.45617,                 1.1303,                 1.4766,                0.54041,                 1.0274,               0.001981,               0.001981,               0.001981
                     83,                 0.5738,                0.59976,                 0.3577,                0.83788,                0.86878,                0.75558,                0.81929,                0.54526,                0.85583,                0.72005,                0.79892,                 0.4572,                 1.1296,                 1.4793,                0.54065,                 1.0269,               0.001882,               0.001882,               0.001882
                     84,                0.56941,                  0.597,                0.35328,                0.83665,                0.85997,                0.76156,                0.81917,                0.54457,                0.85444,                0.72026,                0.79865,                0.45648,                 1.1303,                 1.4815,                0.54114,                 1.0268,               0.001783,               0.001783,               0.001783
                     85,                0.56826,                0.59452,                0.35371,                0.83578,                0.86818,                0.75818,                0.81936,                0.54465,                0.85335,                0.71941,                0.79822,                 0.4563,                 1.1305,                 1.4833,                0.54115,                 1.0268,               0.001684,               0.001684,               0.001684
                     86,                0.56321,                0.59229,                0.34977,                0.83546,                0.86866,                0.76026,                 0.8209,                0.54545,                0.85541,                0.72026,                0.79919,                0.45698,                 1.1311,                 1.4865,                0.54163,                 1.0266,               0.001585,               0.001585,               0.001585
                     87,                0.55982,                0.58816,                0.34629,                0.83402,                0.86695,                0.76052,                0.82169,                0.54577,                0.85401,                0.72208,                0.79987,                0.45747,                 1.1326,                 1.4902,                0.54098,                  1.027,               0.001486,               0.001486,               0.001486
                     88,                0.55746,                0.58562,                0.34496,                 0.8338,                0.86763,                0.75761,                0.82039,                0.54495,                0.85393,                0.71974,                0.79824,                0.45778,                 1.1332,                 1.4944,                0.54166,                  1.027,               0.001387,               0.001387,               0.001387
                     89,                0.55565,                0.58562,                0.34209,                0.83373,                0.86622,                0.75848,                0.82007,                  0.545,                0.85365,                0.72052,                0.79816,                0.45752,                 1.1323,                 1.4963,                0.54184,                 1.0268,               0.001288,               0.001288,               0.001288
                     90,                0.55097,                0.57972,                0.33864,                 0.8323,                0.86321,                0.76053,                0.81952,                0.54534,                0.85611,                0.72078,                0.79947,                0.45818,                  1.131,                 1.4991,                0.54096,                 1.0265,               0.001189,               0.001189,               0.001189
                     91,                0.55586,                0.59659,                0.34922,                0.82772,                0.86103,                 0.7596,                0.81933,                0.54585,                0.85456,                0.71948,                 0.7985,                0.45787,                 1.1311,                 1.4999,                0.54157,                 1.0266,                0.00109,                0.00109,                0.00109
                     92,                0.54812,                0.58894,                 0.3445,                0.82508,                0.86137,                0.76012,                0.81983,                0.54615,                0.85183,                0.71974,                0.79948,                0.45855,                 1.1316,                 1.5012,                0.54176,                 1.0272,               0.000991,               0.000991,               0.000991
                     93,                0.54096,                0.58484,                 0.3385,                0.82267,                0.85866,                 0.7587,                0.81977,                0.54618,                  0.856,                0.71688,                 0.7996,                0.45855,                 1.1324,                 1.5034,                0.54206,                 1.0277,               0.000892,               0.000892,               0.000892
                     94,                0.53791,                0.57973,                0.33557,                0.82208,                0.85861,                0.75974,                 0.8202,                0.54671,                0.85304,                0.71792,                0.79871,                0.45889,                 1.1311,                 1.5068,                0.54224,                 1.0276,               0.000793,               0.000793,               0.000793
                     95,                0.53202,                0.57358,                 0.3325,                0.81981,                0.85985,                0.75922,                0.82044,                0.54656,                 0.8559,                0.71662,                0.79853,                0.45838,                 1.1298,                 1.5099,                0.54218,                 1.0272,               0.000694,               0.000694,               0.000694
                     96,                0.52868,                0.57449,                0.32974,                 0.8205,                0.85845,                0.75771,                0.82033,                0.54726,                0.85703,                0.71779,                0.79942,                0.45876,                 1.1286,                 1.5124,                0.54281,                 1.0266,               0.000595,               0.000595,               0.000595
                     97,                0.52305,                0.56525,                0.32514,                 0.8185,                0.85675,                0.75844,                0.82035,                0.54811,                0.85707,                0.71688,                0.79802,                0.45868,                 1.1291,                 1.5154,                0.54304,                 1.0275,               0.000496,               0.000496,               0.000496
                     98,                0.51843,                0.56566,                0.31981,                0.81725,                0.85522,                0.75844,                0.81978,                0.54888,                 0.8579,                0.71481,                0.79637,                0.45897,                 1.1296,                 1.5188,                0.54369,                 1.0282,               0.000397,               0.000397,               0.000397
                     99,                0.51395,                0.56084,                0.31622,                0.81602,                 0.8541,                0.75922,                0.81951,                0.54916,                0.85781,                0.71298,                 0.7957,                0.45921,                 1.1302,                  1.523,                0.54414,                 1.0288,               0.000298,               0.000298,               0.000298
                    100,                0.50833,                0.55584,                 0.3103,                0.81445,                 0.8543,                0.75896,                0.81992,                0.54965,                0.85618,                0.71325,                0.79522,                0.45894,                 1.1306,                 1.5273,                0.54512,                 1.0296,               0.000199,               0.000199,               0.000199
